Latitude,Longitude,Q_2.2_municipe,Q_2.2.1_zone,Q_3.1.3_genre,Q_3.1.4_Scolarite,Q_3.3.2_temps_communautes,Q_3.4.2_activites_professionnelles,Q_4.1.2.1_qui_habite,Q_4.4.1_participer_eglise,Q_4.4.1_participer_au_groupe_jeunes,Q_4.4.1_participe_groupe_femmes,Q_4.4.1_participer_syndicat,Q_4.4.1_participer_a_la_cooperation,Q_4.4.1_participer_a_la_communaute_associative,Q_4.4.1_participer_au_football_de_club,Q_4.5.1_revenu_travail_exterieur,Q_5.1.2_type_culture,Q_5.3.2_cueillette_produits_forestiers,Q_5.3.2_Produits forestiers a base de bois,Q_5.3.2_Produits a base de fibres forestieres,Q_5.3.2_Produits_forestiers_huiles_resines,Q_5.3.2_Produits_fruits_forestiers,Q_5.3.2_Produits_forestiers_chataignes,Q_5.3.2_Produits_forestiers,Q_5.3.2_Produits_forestiers_peche,Q_5.3.2_Produits_forestiers_autres,Q_5.3.2_Pas_de_collecte_de_produits_forestiers,Q_5.3.2.1_autres_collections_forestieres_quelles,Q_6.1.2_emploi_main_d'oeuvre,Q_6.1.3_salaires,Q_6.1.4.2_Insecticides_chimiques,Q_6.1.4.2_defensifs_naturels,Q_6.1.4.3_herbicide,Q_6.2.1_Produits_chimiques,Q_6.2.1.2_pourquoi_n'utiliser_plus_de_produits_chimiques,Q_6.2.1.2.1_autres_raisons_d'utiliser_des_produits_chimiques_nuisibles,Q_6.3.1_entendu_parler_agroecologie,Q_6_3₁_3_Pratique_de_l_agroecologie,Q_6.3.1.3.1_quelle_culture_agroecologie,Q_6.3.1.3.2_depuis_quand_pratique_agroecologie,Q_7.1.1.2_Produits_commerciaux,Q_7.1.1.2_produit principal,Q_7.1.1.2.3_forme_commercialisation,Q_7.1.1.3_certification,Q_7.2.1_revenu_agricole_bon_mois,Q_7.2.2_revenu_agricole_mois_difficile,Q_7.4.1_Principales_difficultes_de_production,Q_7.4.1.1_autres_difficultes_de_production,Q_7.4.2_principales_difficultes_de_la_commercialisation,Q_7.4.2.1_Autres_difficultes_de_commercialisation,Q_7.5.1.2_credit,Q_7.6.1_Technique_d'assistance_a_la_visite,Q_7.6.2_D'où viennent les techniciens ?,Q_7.6.2.1_Autres techniciens qui,Q_7.6.3_frequence_visites,Q_8.1.2_titre du bien,Q_8.1.4_enregistrement_environnemental_CAR,Q_8.1.5_annee_CAR,Q_8.4.1_nouvelles_terres,Q_8.4.1.4_prix,Q_8.5.1_evenement de terrain,Q_8.5.2_refu_proposition_achat_refuse,Q_8.5.2.1_annee_proposition_achat,Q_8.5.3_campagne_ne_vend_pas_ta_terre,Q_9.1.1.2_abandon de la culture,Q_9.1.1.3_pourquoi_abandonner,Q_9.2.1_nouvelles_activites,Q_9.2.1.2_quelles_nouvelles_activites,Q_9.3.1_Changement_du_climat,Q_9.3.1.1_Autres_changements_qui,Q_9.3.1.4_assechement_source,Q_9.3.1.5_Sources d'eau de sechage,Q_9.3.1.6_quand_assechement,Q_9.4.1_Changes_apres_soja,Q_9.4.1.2_quand_changements,Q_9.4.1.3_quand_changements_lies_soja,Q_9.4.1.4_changements_positifs_soja,Q_9.4.1.4.1_autres_ameliorations_quoi,Q_9.4.1.5_changements_negatifs_soja,Q_9.4.1.5.1_Autres_pertes_de_soja_apportees_qui,Q_9.4.2_atteint_pour_la_pulverisation_des_pesticides,Q_9.4.2.3_commentaire_pesticides_impactant,Q_9.4.2.4_problemes_sante_lies_pulverisations,Q_9.4.2.4.1_autres_problemes_de_sante_pulverisations_qual,Q_9.5.1_enfants_veulent_continuer_leur_activite_agricole,Q_9.5.1.2_quel_futur_veulent_pour_les_enfants,Q_9.5.2_quel_futur_5_ans,Q_9.6.1_situation_communautaire_sante,Q_9.6.1_situation_communaute_education,Q_9.6.1_situation_communaute_production_agricole,Q_9.6.1_situation_communaute_route_transport,Q_9.6.1_situation_communaute_liens_sociaux,Q_9.6.1_situation_communaute_relations_autres_acteurs_dont_soja,Q_9.6.1_situation_communaute_pouvoirs_publics,Q_9.6.2_changements_15ans_sante,Q_9.6.2_changements_15ans_education,Q_9.6.2_changements_15ans_production_agricole,Q_9.6.2_changements_15ans_transport_route,Q_9.6.2_changements_15ans_liens_sociaux,Q_9.6.2_changements_15ans_acteurs_exterieurs,Q_9.6.2_changements_15ans_pouvoirs_publics,Q_9.6.3_situation_agricole_familiale,Q_9.6.3_situation_communaute_si_continue,Q_9.6.3_situation_soja_si_continue,Q_10_age,Q_11_Dist_soja,@2.1GPS point d'interview location_altitude,,,,,,,,,,,,,,,,,
-2.81278157,-54.64563058,Mojuí dos Campos,M2 Poteau a ananas,Femme,Enseignement primaire incomplet,Moins de 5 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Participer,Non,Non,Non,Non,Non,Personne ne travaille en dehors du lotissement,Legumes,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , , , , ,Jamais utilise, , ,Non, , , , , , , ,Vous ne savez pas,Vous ne savez pas,"Exces d'eau/inondations ; ravageurs, maladies, insectes ; manque de main-d'œuvre ; autres", , , ,Aucun,Non, , , ,Titularisation,Non, ,Non, ,non,Non, ,Non, , ,Non, ,Deplacement de la saison des pluies, ,Non, , ,Non, , ,Aucun, ,Aucun, ,Non, ,Il n'avait pas, ,Oui,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,bon,bon,mauvais,bon,bon,moyen,moyen,C'est la meme chose,Amelioree,La situation a empire,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,La situation va empirer,La situation va empirer,La situation va empirer,29, ,66,,,,,,,,,,,,,,,,
-2.83688986,-54.74742747,Mojuí dos Campos,M4 PA Jabuti,Femme,Enseignement primaire incomplet,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Non,Participer,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Non, , , , , , ,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum",Periode de secheresse , sol faible/degradation, ,Mauvais etat des routes , Autres, , ,Non, , , ,Reçu d'achat,Non, ,"Oui, je l'ai fait",10 000 mille,non,Non, ,Oui,"Riz, haricots et maïs",Difficile a vendre. Prix bas,Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,Non, , ,Aucun, ,Aucun, ,Non, ,Il n'avait pas, ,Oui,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,mauvais,mauvais,bon,mauvais,bon,bon,bon,C'est la meme chose,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il se renforcera,Il se renforcera,Il ne changera pas,33, ,42,,,,,,,,,,,,,,
-2.88192533,-54.47047177,Mojuí dos Campos,M5 Bonne chance (farine),Homme,Enseignement primaire incomplet,De 5 a 15 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire ; Fils, fille ; Petit-enfant/petite-fille",Participer,Participer,Participer,Participer,Non,Participer,Non,Personne ne travaille en dehors du lotissement,Plantation , autres plantations uniques (monoculture),Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par an, ,Tous les 2-3 mois,Tous les mois,1 ou 2 fois par an,Utilisation, , ,Non, , , , , , ,Non,"Entre 0,5 et 1 salaire minimum","Entre 0,5 et 1 salaire minimum",Ressources financieres, ,Mauvais etat des routes , Autres,Prix bas,Fleur d'amazone,Non, , , ,Titularisation,"Oui, individuel",2018,Non, ,non,Oui,2017,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Moins de pluie , Deplacement de la saison des pluies, ,Non, , ,"Oui, je sais que ça fait mal",Depuis leur arrivee,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,"Degradation de la qualite de l'eau (iguarapę, puits)", ,Non, ,Il n'avait pas, ,Oui,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,moyen,moyen,moyen,moyen,bon,bon,bon,La situation a empire,La situation a empire,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,Amelioree,La situation va empirer,La situation va empirer,Il se renforcera,55, ,41,,,,,,,,,,,,,
-2.81294147,-54.64561715,Mojuí dos Campos,M2 Poteau a ananas,Femme,ecole secondaire incomplete,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Non,Non,Personne ne travaille en dehors du lotissement,Plantation , autres plantations uniques (monoculture),Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,Tous les 2-3 mois,Jamais, ,Jamais utilise, , ,Non, , , , , , ,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum","Ravageurs, maladies, insectes ; Ressources financieres ; Manque de main-d'œuvre ; Manque d'assistance technique", ,Mauvais etat des routes , Difficulte a se conformer aux reglementations sanitaires, ,Fleur d'amazone,Non, , , ,Titularisation,Non, ,Non, ,non,Non, ,Oui,Riz et haricots,En raison des parasites,Non, ,Augmentation de la temperature (plus chaude) , Moins de pluie, ,Non, , ,"Oui, je sais que ça fait mal",3 ans,Augmentation au cours des 5 dernieres annees,Aucun, ,Perte de production , changement climatique , dommages generaux a l'environnement, ,Non, ,Il n'avait pas, ,Oui,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,moyen,moyen,moyen,mauvais,bon,bon,mauvais,C'est la meme chose,C'est la meme chose,La situation a empire,La situation a empire,Amelioree,C'est la meme chose,La situation a empire,La situation va empirer,La situation va empirer,La situation va empirer,31, ,51,,,,,,,,,,,
-2.81316623,-54.64686895,Mojuí dos Campos,M2 Poteau a ananas,Femme,Enseignement primaire incomplet,De 5 a 15 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Non,Non,Non,Non,Personne ne travaille en dehors du lotissement,Ferme productive ou arriere-cour , Autres plantations seules (monoculture),"Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, ,Quelques fois par an, ,Tous les mois,Jamais, ,Utilisation, , ,Non, , , ,Ananas,Ananas,"Vente aux intermediaires, Vente dans les foires municipales",Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum","Periode de secheresse ; Sol faible/degradation ; Ravageurs, maladies, insectes", ,Mauvais etat des routes , difficultes d'acces aux marches, ,Aucun,Non, , , ,Reçu d'achat,Non, ,Non, ,non,Non, ,Non,"Riz, maïs",Ils sont passes a l'ananas,Non, ,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,Non, , ,Aucun, ,Aucun, ,Non, ,Il n'avait pas, ,Non,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,bon,bon,moyen,bon,bon,bon,moyen,C'est la meme chose,C'est la meme chose,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,Amelioree,Il se renforcera,La situation va empirer,Il se renforcera,31,"952,32899",63,,,,,,,,,,,,,
-2.8141615,-54.64192405,Mojuí dos Campos,M2 Poteau a ananas,Homme,Diplome d'etudes secondaires,Plus de 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Leadership,Non,Non,Leadership,Leadership,Leadership,Leadership,Personne ne travaille en dehors du lotissement,Plantation , Ferme productive ou arriere-cour , Consortium ou SAF , Autres plantations seules (monoculture),Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,1 ou 2 fois par an,Jamais,1 ou 2 fois par an,Utilisation, , ,Oui, , , ,Ananas,Ananas,Vente aux intermediaires,Non,Plus de 1 a 3 salaires minimums,Rien,"Periode de secheresse ; Temperature ; Ravageurs, maladies, insectes ; Ressources financieres ; Manque d'assistance technique ; Contamination par les pesticides", ,Mauvais etat des routes , difficultes d'acces aux marches, ,Financement du Pronaf,Non, , , ,Titre definitif (INCRA ou ITERPA),"Oui, collectif", ,"Oui, je l'ai fait",5 mille,non,Oui,2000,Oui, , ,Oui,"Orange, citron, banane, mandarine, açaí, cupuaçu, acerola.",Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal",Depuis l'arrivee du soja,Elle s'est developpee au cours des dix dernieres annees,Route mieux entretenue, ,"Degradation de la qualite de l'eau (iguarapę, puits) ; Changement climatique", ,Non, ,Maux de tete constants, ,Oui,Poursuivre l'agriculture , etudier au niveau universitaire,Je veux continuer a renforcer les activites du lot,moyen,bon,moyen,mauvais,bon,mauvais,mauvais,C'est la meme chose,C'est la meme chose,La situation a empire,La situation a empire,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation va empirer,La situation va empirer,Il se renforcera,43,"568,17201",50,,,,,,,,,,,
-2.82525426,-54.64295707,Mojuí dos Campos,M2 Poteau a ananas,Femme,Enseignement primaire incomplet,De 5 a 15 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Non,Non,Personne ne travaille en dehors du lotissement,Roça , Sitio ou arriere-cour productive , Autres plantations seules (monoculture),Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,1 ou 2 fois par an,Jamais,Jamais,Utilisation, , ,Non, , , ,Ananas,Ananas,Vente lors d'une foire municipale,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum",Periode de secheresse , temperature , ressources financieres, ,Autres,Prix bas,Aucun,Non, , , ,Titularisation,"Oui, collectif", ,Non, ,non,Oui,2016,Oui,Riz,Parce que c'est beaucoup de travail. Et nous avons deja plante des ananas,Non, ,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal",8 ans,Augmentation au cours des 5 dernieres annees,Aucun, ,"Difficulte d'acces a la parcelle et blocage de la route ; Degradation de la qualite de l'eau (iguarapę, puits).", ,Oui,"Malaise (odeur forte, maux de tete, vomissements)","Maladie pulmonaire chronique (asthme, tuberculose, bronchite, pneumonie) Maux de tete constants", ,Oui,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,bon,bon,moyen,moyen,bon,moyen,mauvais,Amelioree,La situation a empire,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il se renforcera,Il ne changera pas,Il se renforcera,33,"168,6196",66,,,,,,,,,,,
-2.80345856,-54.63876979,Mojuí dos Campos,M2 Poteau a ananas,Homme,Enseignement primaire incomplet,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Participe aux activites agricoles de la famille,Conjoint/partenaire/partenaire,Leadership,Non,Non,Participer,Leadership,Leadership,Leadership,Jusqu'a un salaire minimum,Ferme productive ou arriere-cour , Autres plantations seules (monoculture),"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, ,Quelques fois par an, ,1 ou 2 fois par an,Jamais, ,Utilisation, , ,Oui,Non, , ,Ananas,Ananas,"Vente dans les foires municipales, Vente directe aux consommateurs",Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum","Ravageurs, maladies, insectes ; Ressources financieres", ,Mauvais etat des routes , difficultes d'acces aux marches, ,Pronaf B,Oui,EMATER, ,Tous les trois mois,Titre definitif (INCRA ou ITERPA),"Oui, collectif", ,Non, ,non,Oui,2018,Non,Riz,Parce que le sol est faible,Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal",10 ans,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,"Perte de production ; deterioration de la qualite de l'eau (iguarapę, puits) ; deterioration de la sante de la famille.", ,Oui,"Secheresse des cultures ; invasion de ravageurs ; malaise (forte odeur, maux de tete, vomissements).",Il n'avait pas, ,Non,Partir a la recherche d'un emploi en ville,"Je vais continuer, mais sans investir trop d'efforts ou d'argent.",moyen,bon,bon,mauvais,bon,moyen,moyen,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation a empire,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il ne changera pas,Il ne changera pas,Il se renforcera,50,"652,67034",77,,,,,,,,,,,,,,,
-2.79439925,-54.64219118,Mojuí dos Campos,M2 Poteau a ananas,Homme,Enseignement primaire incomplet,Plus de 30 ans,Participe aux activites agricoles de la famille , Retraite,Je vis seul,Participer,Non,Non,Participer,Non,Non,Participer,Vous ne savez pas,Ferme productive ou arriere-cour , Autres plantations seules (monoculture),Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par an, ,1 ou 2 fois par an,Jamais, ,Jamais utilise, , ,Non, , , ,Ananas,Ananas,Vente aux intermediaires,Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum","Periode de secheresse ; Ravageurs, maladies, insectes ; Autres",Problemes de sante,Difficultes d'acces aux marches, ,Aucun,Non, , , ,Titularisation,Non, ,Non, ,non,Non, ,Non, , ,Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal",7 ans,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,"Degradation de la qualite de l'eau (iguarapę, puits)", ,Non, ,Il n'avait pas, ,Non,Poursuivre l'activite agricole,"Je vais continuer, mais sans investir trop d'efforts ou d'argent.",moyen,moyen,moyen,mauvais,bon,bon,mauvais,La situation a empire,C'est la meme chose,La situation a empire,La situation a empire,C'est la meme chose,Amelioree,La situation a empire,Il ne changera pas,La situation va empirer,Il ne changera pas,61,"108,9891",79,,,,,,,,,,,,,,,
-2.64135956,-54.92163545,Belterra,Centre B1,Homme,Enseignement primaire incomplet,Moins de 5 ans,Participe aux activites agricoles de la famille,Conjoint/partenaire/partenaire,Participer,Non,Non,Participer,Non,Non,Non,Personne ne travaille en dehors du lotissement,Plantation , Legumes , Ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,Jamais,Tous les mois,Jamais,Jamais utilise, , ,Oui,Oui,Toute la production,Depuis son arrivee sur le terrain,"Legumes,Manioc,Piment",epinards,Ventes directes aux consommateurs,Non,"Jusqu'a 0,5 salaire minimum","Jusqu'a 0,5 salaire minimum",Ressources financieres , manque de main-d'œuvre, ,Manque de moyens de transport adequats , Autres,Absence de cheveux,Aucun,Non, , , ,Licence professionnelle (INCRA) - LO,Non, ,Non, ,non,Oui,2019,Oui, , ,Oui,"Piment, canne a sucre et citron",Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal",30 ans,C'est comme ça depuis 15 ans,Autres,L'argent,Aucun, ,Non, ,Je ne sais pas, ,Sans objet (si vous n'avez pas d'enfant),Qu'ils ont fait des etudes superieures , Autres,Je veux continuer a renforcer les activites du lot,bon,bon,bon,moyen,moyen,bon,moyen,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Il se renforcera,Il se renforcera,La situation va empirer,58,"174,03273",161,,,,,,,,,,,,
 , ,Belterra,Centre B1,Homme,Diplome d'etudes secondaires,Plus de 30 ans,Participe aux activites agricoles de la famille , Autre,Beau-pere/ belle-mere ou beau-pere/ belle-mere , autre parent,Participer,Non,Non,Non,Non,Non,Non,Jusqu'a un salaire minimum,Plantation , autres plantations uniques (monoculture),"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Non, , , ,"Miel, pulpe_Cupuaçu",Pate a papier_Cupuaçu,Ventes directes aux consommateurs,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum","Sol faible/degradation ; ravageurs, maladies, insectes ; acces difficile aux intrants naturels", ,Difficultes d'acces aux marches, ,Aucun,Oui,Universite, ,Une fois par an,Titularisation,"Oui, individuel",2018,Non, ,non,Oui,2019,Non,Riz et maïs,Sol faible,Non, ,Augmentation de la temperature (plus chaude) , Moins de pluie, , , , ,"Oui, je sais que ça fait mal",10 ans,Elle s'est developpee au cours des dix dernieres annees,Il ne peut pas dire, ,Aucun, ,Oui,Vos abeilles sont mortes , il n'y a plus de pollinisation (moins de fruits),Maux de tete constants, ,Vous ne savez pas,Qu'ils poursuivent des etudes superieures,Autres,moyen,moyen,mauvais,mauvais,mauvais,mauvais,mauvais,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation a empire,C'est la meme chose,C'est la meme chose,La situation a empire,La situation va empirer,La situation va empirer,La situation va empirer,39, , ,,,,,,,,,,,,
-2.63396283,-54.92941659,Belterra,Centre B1,Homme,Enseignement primaire incomplet,Plus de 30 ans,Participe aux activites agricoles de la famille , Retraite,"Conjoint/partenaire ; Fils, fille ; Gendre/belle-fille ; Petit-enfant/petite-fille",Leadership,Participer,Non,Participer,Non,Participer,Non,Jusqu'a un salaire minimum,Plantation , ferme productive ou arriere-cour,"Fibres (lianes, eclisses, ecorces, paille) ; Fruits (açaí, buriti, bacaba, piquia, etc.) ; Fruits a coque (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,1,0,1,1,0,0,0,0, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Non, , , ,"Aviculura,Pulp_Cupuaçu,Pulp_Muruci",Pate a papier_Cupuaçu,"Vente au sein de la communaute, Vente aux intermediaires",Non,"Jusqu'a 0,5 salaire minimum",Rien,Autres,"Manque d'eau, manque d'energie et de transport",Mauvais etat des routes , Difficultes d'acces aux marches , Autres,Les croises,Aucun,Non, , , ,Titularisation,"Oui, individuel",2012,"Oui, j'en ai herite", ,non,Oui,2019,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Moins de pluie, ,Non, , ,"Oui, je sais que ça fait mal",14 ans,Augmentation au cours des 5 dernieres annees,Aucun, ,Perte de production , aggravation de la sante de la famille Changement climatique , dommages generaux a l'environnement, ,Oui,N'affecte pas,Il n'avait pas, ,Non,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,mauvais,mauvais,mauvais,mauvais,bon,bon,mauvais,La situation a empire,La situation a empire,C'est la meme chose,La situation a empire,Amelioree,C'est la meme chose,La situation a empire,La situation va empirer,Il ne changera pas,Il se renforcera,62,"1353,96304",160,,,,,,,,,,
-2.64890677,-54.90148207,Belterra,Centre B1,Homme,Enseignement primaire incomplet,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire ; Fils, fille ; Petit-enfant/petite-fille",Participer,Non,Non,Participer,Non,Non,Non,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,Tous les 2-3 mois,Jamais,Jamais,"Avant, mais plus maintenant",Preoccupation pour sa sante et celle de sa famille , Preoccupation pour l'environnement, ,Non, , , ,"Farine,Manioc,Maïs",Maïs,Vente aux intermediaires,Non,"Jusqu'a 0,5 salaire minimum",Vous ne savez pas,Periode de secheresse , Sol faible/degradation , Ressources financieres, ,Mauvais etat des routes , manque de transport adequat , difficultes d'acces aux marches, ,Aucun,Non, , , ,Titularisation,"Oui, individuel",2019,"Oui, j'en ai herite", ,non,Non, ,Non, , ,Oui,"Citron, orange",Augmentation de la temperature (plus chaude) , Moins de pluie , Moins d'humidite dans l'air (moins de brouillard), ,Non, , ,"Oui, je sais que ça fait mal",10 ans,Augmentation au cours des 5 dernieres annees,Aucun, ,"Perte de production ; Difficulte d'acces a la parcelle et blocage de la route ; Degradation de la qualite de l'eau (iguarapę, puits) ; Changement climatique.", ,Oui,Envahissement de leurs cultures par des parasites , plus de pollinisation (moins de fruits),Il n'avait pas, ,Oui,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,mauvais,moyen,moyen,moyen,bon,mauvais,mauvais,La situation a empire,Amelioree,La situation a empire,La situation a empire,Amelioree,La situation a empire,La situation a empire,La situation va empirer,La situation va empirer,Il se renforcera,58,"256,51859",140,,,,,,,
-2.66294179,-54.90046204,Belterra,Centre B1,Homme,Terminer l'enseignement primaire,De 5 a 15 ans,Participe aux activites agricoles de la famille , Autre,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Non,Non,Plus de 1 a 3 salaires minimums,Ferme ou jardin productif, , , , , , , , , , , , , ,Tous les mois,Jamais, ,Utilisation, , ,Non, , , ,"Volaille,Patates douces,Oeufs",Aviculure,Ventes communautaires,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum",Periode de secheresse , Sol faible/degradation , Autre,Penuries d'eau,Mauvais etat des routes , manque de transport adequat , difficultes d'acces aux marches , manque d'assistance technique pour la commercialisation, ,Aucun,Non, , , ,Titularisation,"Oui, individuel",2016,Non, ,non,Oui,2014,Non, , ,Non, ,Augmentation de la temperature (plus chaude) , Autre,Tres chaud,Non, , ,Il ne peut pas dire, , ,Aucun, ,Perte de production, ,Oui,Envahissement de leurs cultures par des parasites , plus de pollinisation (moins de fruits),Il n'avait pas, ,Non,Qu'ils poursuivent des etudes superieures,J'aimerais sortir en ville,mauvais,moyen,mauvais,mauvais,bon,bon,bon,C'est la meme chose,C'est la meme chose,La situation a empire,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation va empirer,La situation va empirer,Il se renforcera,45,"365,41116",137,,,,,,,,,
-2.68977414,-54.8740269,Belterra,B2 Trefle,Homme,Enseignement primaire incomplet,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Fils, fille ; beau-pere/ belle-mere ou beau-pere/ belle-mere",Participer,Non,Non,Participer,Non,Participer,Non,Jusqu'a un salaire minimum,Plantation , ferme productive ou arriere-cour,"Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, ,Quelques fois par mois, ,Jamais,1 ou 2 fois par an,Jamais, , , ,Oui,Oui,Plantation,20 ans,"Aviculura,Pimenta do Reino,Pupunha",Aviculure,Autres,Non,Plus de 1 a 3 salaires minimums,Rien,Ressources financieres , manque d'assistance technique , autres,Manque de soutien de la part de la mairie,Manque de transport adequat , manque d'assistance technique au marche, ,Pronaf B,Oui,EMATER, ,Moins d'une fois par an,Titularisation,Non, ,Non, ,non,Non, ,Oui, , ,Non, ,Augmentation des precipitations, ,Non, , ,"Oui, je pense qu'il a apporte des ameliorations",10 ans,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,Perte de production , changement climatique , dommages generaux a l'environnement, ,Oui,"Secheresse des cultures ; invasion de ravageurs ; malaise (forte odeur, maux de tete, vomissements).",Il n'avait pas, ,Oui,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,moyen,bon, ,moyen,bon,bon,mauvais,Amelioree,Amelioree,C'est la meme chose,Amelioree,Amelioree,C'est la meme chose,La situation a empire,La situation va empirer,Il se renforcera,Il ne changera pas,38,"143,7764",130,,,,,,,,,,
